AF028704.1 Adeno-associated virus 6, complete genome
NC 016144.1 Lloviu cuevavirus isolate Lloviu virus/M.schreibersii-wt/ESP/2003/Asturias-Bat86, complete genome
NC 016152.1 Luna virus segment S, complete genome
NC 016153.1 Luna virus segment L, complete genome
NC 016997.1 Donggang virus, complete genome
NC 017086.1 Chaoyang virus, complete genome
NC 017936.1 Bat sapovirus TLC58/HK, complete genome
NC 017937.1 Nariva virus, complete genome
NC 018136.1 SFTS virus HB29 segment L, complete genome
NC 018137.1 SFTS virus HB29 segment S, complete genome
NC 018138.1 SFTS virus HB29 segment M, complete genome
NC 018382.1 Bat hepevirus, complete genome
NC 018459.1 Aino virus Gn-Gc-NSm gene for M polyprotein, segment M, genomic RNA, isolate 38K
NC 018460.1 Aino virus N and NSs genes, segment S, genomic RNA, isolate 38K
NC 018461.1 Sathuperi virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA
NC 018462.1 Sathuperi virus N and NSs genes, segment S, genomic RNA
NC 018463.1 Shamonda virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate Ib An 5550
NC 018464.1 Shamonda virus N and NSs genes, segment S, genomic RNA, isolate Ib An 5550
NC 018465.1 Aino virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate 38K
NC 018466.1 Sathuperi virus Gn-Gc-NSm gene for M polyprotein, segment M, genomic RNA
NC 018467.1 Shamonda virus Gn-Gc-NSm gene for M polyprotein, segment M, genomic RNA, isolate Ib An 5550
NC 018476.1 Simbu virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate SA Ar 53
NC 018477.1 Simbu virus N and NSs genes, segment S, genomic RNA, isolate SA Ar 53
NC 018478.1 Simbu virus Gn-Gc-NSm gene for M polyprotein, segment M, genomic RNA, isolate SA Ar 53
NC 018481.1 CAS virus segment S, complete genome
NC 018482.1 Golden Gate virus segment L, complete genome
NC 018483.1 Golden Gate virus segment S, complete genome
NC 018484.1 CAS virus segment L, complete genome
NC 018629.1 Ikoma lyssavirus, complete genome
NC 018705.3 Ntaya virus isolate IPDIA, complete genome
NC 018710.1 Lunk virus NKS-1 segment S, complete genome
NC 018711.1 Lunk virus NKS-1 segment L, complete genome
NC 019531.1 Avian paramyxovirus 4 strain APMV-4/duck/Delaware/549227/2010, complete genome
NC 020498.1 TTV-like mini virus isolate TTMV LY1, complete genome
NC 020805.1 Chandipura virus isolate CIN 0451, complete genome
NC 020807.1 Lagos bat virus isolate 0406SEN, complete genome
NC 020808.1 Aravan virus, complete genome
NC 020809.1 Irkut virus, complete genome
NC 020810.1 Duvenhage virus isolate 86132SA, complete genome
NC 021069.1 Mosquito flavivirus isolate LSFlaviV-A20-09, complete genome
NC 021153.1 Rodent hepacivirus isolate RHV-339, complete genome
NC 021541.1 Human rotavirus B strain Bang373 RNA dependent RNA polymerase (VP1) mRNA, complete cds
NC 021542.1 Human rotavirus B strain Bang373 outer capsid protein (VP7) gene, complete cds
NC 021543.1 Human rotavirus B strain Bang373 outer capsid protein (VP4) gene, complete cds
NC 021544.1 Human rotavirus B strain Bang373 inner capsid protein (VP6) gene, complete cds
NC 021545.1 Human rotavirus B strain Bang373 inner capsid protein (VP2) gene, complete cds
NC 021546.1 Human rotavirus B strain Bang373 nonstructural protein 1-1 (NSP1-1), nonstructural protein 1-2 (NSP1-2), and nonstructural protein 1-3 (NSP1-3) genes, complete cds
NC 021547.1 Human rotavirus B strain Bang373 nonstructural protein (NSP3) gene, complete cds
NC 021548.1 Human rotavirus B strain Bang373 nonstructural protein (NSP2) gene, complete cds
NC 021549.1 Human rotavirus B strain Bang373 nonstructural protein (NSP5) gene, complete cds
NC 021550.1 Human rotavirus B strain Bang373 nonstructural protein (NSP4) gene, complete cds
NC 021551.1 Human rotavirus B strain Bang373 VP3 (VP3) mRNA, complete cds
NC 021580.1 Rotavirus G chicken/03V0567/DEU/2003 segment 2, complete sequence
NC 021581.1 Rotavirus G chicken/03V0567/DEU/2003 segment 3, complete sequence
NC 021582.1 Rotavirus G chicken/03V0567/DEU/2003 segment 9, complete sequence
NC 021583.1 Rotavirus G chicken/03V0567/DEU/2003 segment 5, complete sequence
NC 021584.1 Rotavirus G chicken/03V0567/DEU/2003 segment 8, complete sequence
NC 021585.1 Rotavirus G chicken/03V0567/DEU/2003 segment 7, complete sequence
NC 021586.1 Rotavirus G chicken/03V0567/DEU/2003 segment 10, complete sequence
NC 021587.1 Rotavirus G chicken/03V0567/DEU/2003 segment 11, complete sequence
NC 021588.1 Rotavirus G chicken/03V0567/DEU/2003 segment 6, complete sequence
NC 021589.1 Rotavirus G chicken/03V0567/DEU/2003 segment 4, complete sequence
NC 021590.1 Rotavirus G chicken/03V0567/DEU/2003 segment 1, complete sequence
NC 021625.1 Rotavirus F chicken/03V0568/DEU/2003 segment 1, complete sequence
NC 021626.1 Rotavirus F chicken/03V0568/DEU/2003 segment 2, complete sequence
NC 021627.1 Rotavirus F chicken/03V0568/DEU/2003 segment 9, complete sequence
NC 021628.1 Rotavirus F chicken/03V0568/DEU/2003 segment 8, complete sequence
NC 021629.1 Rotavirus F chicken/03V0568/DEU/2003 segment 10, complete sequence
NC 021630.1 Rotavirus F chicken/03V0568/DEU/2003 segment 4, complete sequence
NC 021631.1 Rotavirus F chicken/03V0568/DEU/2003 segment 3, complete sequence
NC 021632.1 Rotavirus F chicken/03V0568/DEU/2003 segment 5, complete sequence
NC 021633.1 Rotavirus F chicken/03V0568/DEU/2003 segment 7, complete sequence
NC 021634.1 Rotavirus F chicken/03V0568/DEU/2003 segment 11, complete sequence
NC 021635.1 Rotavirus F chicken/03V0568/DEU/2003 segment 6, complete sequence
NC 021928.1 Human parainfluenza virus 4a viral cRNA, complete genome, strain: M-25
NC 022037.1 Brazoran virus segment S, complete sequence
NC 022038.1 Brazoran virus segment M, complete sequence
NC 022039.1 Brazoran virus segment L, complete sequence
NC 022630.1 Razdan virus strain LEIV-Arm2741 segment L, complete sequence
NC 022631.1 Razdan virus strain LEIV-Arm2741 segment M, complete sequence
NC 022632.1 Razdan virus strain LEIV-Arm2741 segment S, complete sequence
NC 023633.1 Arumowot virus segment M, complete sequence
NC 023634.1 Arumowot virus segment S, complete sequence
NC 023635.1 Arumowot virus segment L, complete sequence
NC 045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1 complete genome
U13766.1 Murine leukemia virus MCF1233, complete genome
gi|1020162|lcl|HPV20REF.1| Human papillomavirus 20 (HPV20), complete genome
gi|1020170|lcl|HPV21REF.1| Human papillomavirus 21 (HPV21), complete genome
gi|1020178|lcl|HPV22REF.1| Human papillomavirus 22 (HPV22), complete genome
gi|1020186|lcl|HPV23REF.1| Human papillomavirus 23 (HPV23), complete genome
gi|1020202|lcl|HPV28REF.1| Human papillomavirus 28 (HPV28), complete genome
gi|1020210|lcl|HPV29REF.1| Human papillomavirus 29 (HPV29), complete genome
gi|1020218|lcl|HPV36REF.1| Human papillomavirus 36 (HPV36), complete genome
gi|1020226|lcl|HPV37REF.1| Human papillomavirus 37 (HPV37), complete genome
gi|1020234|lcl|HPV38REF.1| Human papillomavirus 38 (HPV38), complete genome
gi|1020242|lcl|HPV44REF.1| Human papillomavirus 44 (HPV44), complete genome
gi|1020290|lcl|HPV66REF.1| Human papillomavirus 66 (HPV66), complete genome
gi|1020934679|lcl|HPV157REF.1| Human Papillomavirus 157 (HPV157), complete genome
gi|1020934686|lcl|HPV205REF.1| Human Papillomavirus 205 (HPV205), complete genome
gi|1020934693|lcl|HPV158REF.1| Human Papillomavirus 158 (HPV158), complete genome
gi|109390382|lcl|HPV103REF.1| Human papillomavirus 103 (HPV103), complete genome
gi|109390389|lcl|HPV101REF.1| Human papillomavirus 101 (HPV101), complete genome
gi|1173493|lcl|HPV70REF.1| Human papillomavirus 70 (HPV70), complete genome
gi|12084981|lcl|HPV71REF.1| Human papillomavirus 71 (HPV71), complete genome
gi|126131393|lcl|HPV107REF.1| Human papillomavirus 107 (HPV107), complete genome
gi|12958167|lcl|HPV84REF.1| Human papillomavirus 84 (HPV84), complete genome
gi|14475578|lcl|HPV87REF.2| Human papillomavirus 87 (HPV87), complete genome
gi|1491683|lcl|HPV72REF.1| Human papillomavirus 72 (HPV72), complete genome
gi|1491692|lcl|HPV73REF.1| Human papillomavirus 73 (HPV73), complete genome
gi|15741127|lcl|HPV86REF.1| Human papillomavirus 86 (HPV86), complete genome
gi|167600365|lcl|HPV88REF.1| Human papillomavirus 88 (HPV88), complete genome
gi|186461194|lcl|HPV110REF.1| Human papillomavirus 110 (HPV110), complete genome
gi|186461202|lcl|HPV111REF.1| Human papillomavirus 111 (HPV111), complete genome
gi|22023568|lcl|HPV91REF.1| Human papillomavirus 91 (HPV91), complete genome
gi|22095322|lcl|HPV89REF.1| Human papillomavirus 89 (HPV89), complete genome
gi|22138122|lcl|HPV90REF.1| Human papillomavirus 90 (HPV90), complete genome
gi|222386|lcl|HPV58REF.1| Human papillomavirus 58 (HPV58), complete genome
gi|224983322|lcl|HPV108REF.1| Human Papillomavirus 108 (HPV108), complete genome
gi|225927560|lcl|HPV109REF.1| Human papillomavirus 109 (HPV109), complete genome
gi|225927568|lcl|HPV112REF.1| Human papillomavirus 112 (HPV112), complete genome
gi|238801701|lcl|HPV99REF.1| Human papillomavirus 99 (HPV99), complete genome
gi|238801708|lcl|HPV100REF.1| Human papillomavirus 100 (HPV100), complete genome
gi|238801716|lcl|HPV105REF.1| Human papillomavirus 105 (HPV105), complete genome
gi|238801723|lcl|HPV113REF.1| Human papillomavirus 113 (HPV113), complete genome
gi|238801872|lcl|HPV104REF.1| Human papillomavirus 104 (HPV104), complete genome
gi|254810663|lcl|HPV116REF.1| Human papillomavirus 116 (HPV116), complete genome
gi|256807724|lcl|HPV117REF.1| Human papillomavirus 117 (HPV117), complete genome
gi|256807731|lcl|HPV118REF.1| Human papillomavirus 118 (HPV118), complete genome
gi|262118181|lcl|HPV98REF.2| Human papillomavirus 98 (HPV98), complete genome
gi|270358560|lcl|HPV115REF.1| Human papillomavirus 115 (HPV115), complete genome
gi|27462483|lcl|HPV74REF.1| Human papillomavirus 74 (HPV74), complete genome
gi|27531786|lcl|HPV92REF.1| Human papillomavirus 92 (HPV92), complete genome
gi|290964853|lcl|HPV150REF.1| Human papillomavirus 150 (HPV150), complete genome
gi|290964861|lcl|HPV151REF.1| Human papillomavirus 151 (HPV151), complete genome
gi|2911544|lcl|HPV75REF.1| Human papillomavirus 75 (HPV75), complete genome
gi|2911551|lcl|HPV76REF.1| Human papillomavirus 76 (HPV76), complete genome
gi|2911558|lcl|HPV77REF.1| Human papillomavirus 77 (HPV77), complete genome
gi|2911565|lcl|HPV80REF.1| Human papillomavirus 80 (HPV80), complete genome
gi|294187589|lcl|HPV114REF.1| Human papillomavirus 114 (HPV114), complete genome
gi|296495828|lcl|HPV119REF.1| Human papillomavirus 119 (HPV119), complete genome
gi|296495836|lcl|HPV120REF.1| Human papillomavirus 120 (HPV120), complete genome
gi|296495852|lcl|HPV122REF.1| Human papillomavirus 122 (HPV122), complete genome
gi|296495860|lcl|HPV123REF.1| Human papillomavirus 123 (HPV123), complete genome
gi|296495868|lcl|HPV124REF.1| Human papillomavirus 124 (HPV124), complete genome
gi|297342356|lcl|HPV121REF.1| Human papillomavirus 121 (HPV121), complete genome
gi|304522114|lcl|HPV127REF.1| Human papillomavirus 127 (HPV127), complete genome
gi|312100|lcl|HPV65REF.1| Human papillomavirus 65 (HPV65), complete genome
gi|312451781|lcl|HPV149REF.1| Human papillomavirus 149 (HPV149), complete genome
gi|312451789|lcl|HPV130REF.1| Human papillomavirus 130 (HPV130), complete genome
gi|312451813|lcl|HPV133REF.1| Human papillomavirus 133 (HPV133), complete genome
gi|317046144|lcl|HPV148REF.1| Human papillomavirus 148 (HPV148), complete genome
gi|319962660|lcl|HPV134REF.1| Human papillomavirus 134 (HPV134), complete genome
gi|319962668|lcl|HPV132REF.1| Human papillomavirus 132 (HPV132), complete genome
gi|319976668|lcl|HPV131REF.1| Human papillomavirus 131 (HPV131), complete genome
gi|319976676|lcl|HPV129REF.1| Human papillomavirus 129 (HPV129), complete genome
gi|319976684|lcl|HPV128REF.1| Human papillomavirus 128 (HPV128), complete genome
gi|3228267|lcl|HPV67REF.1| Human papillomavirus 67 (HPV67), complete genome
gi|327195187|lcl|HPV152REF.1| Human papillomavirus 152 (HPV152), complete genome
gi|333026|lcl|HPV11REF.1| Human papillomavirus 11 (HPV11), complete genome
gi|333031|lcl|HPV16REF.1| Human papillomavirus 16 (HPV16), complete genome
gi|333048|lcl|HPV31REF.1| Human papillomavirus 31 (HPV31), complete genome
gi|333049|lcl|HPV33REF.1| Human papillomavirus 33 (HPV33), complete genome
gi|333062|lcl|HPV47REF.1| Human papillomavirus 47 (HPV47), complete genome
gi|333071|lcl|HPV5REF.1| Human Papillomavirus 5 (HPV5), complete genome
gi|333074|lcl|HPV8REF.1| Human papillomavirus 8 (HPV8), complete genome
gi|333087|lcl|HPV51REF.1| Human papillomavirus 51 (HPV51), complete genome
gi|333211|lcl|HPV42REF.1| Human papillomavirus 42 (HPV42), complete genome
gi|333245|lcl|HPV39REF.1| Human papillomavirus 39 (HPV39), complete genome
gi|339639364|lcl|HPV125REF.2| Human papillomavirus 125 (HPV125), complete genome
gi|343411537|lcl|HPV138REF.1| Human papillomavirus 138 (HPV138), complete genome
gi|343411545|lcl|HPV139REF.1| Human papillomavirus 139 (HPV139), complete genome
gi|343411561|lcl|HPV141REF.1| Human papillomavirus 141 (HPV141), complete genome
gi|343411569|lcl|HPV142REF.1| Human papillomavirus 142 (HPV142), complete genome
gi|343411577|lcl|HPV143REF.1| Human papillomavirus 143 (HPV143), complete genome
gi|343411593|lcl|HPV145REF.1| Human papillomavirus 145 (HPV145), complete genome
gi|343411601|lcl|HPV146REF.1| Human papillomavirus 146 (HPV146), complete genome
gi|343411609|lcl|HPV147REF.1| Human papillomavirus 147 (HPV147), complete genome
gi|353441719|lcl|HPV155REF.1| Human papillomavirus 155 (HPV155), complete genome
gi|356483524|lcl|HPV153REF.1| Human papillomavirus 153 (HPV153), complete genome
gi|358356460|lcl|HPV126REF.1| Human papillomavirus 126 (HPV126), complete genome
gi|37089393|lcl|HPV93REF.1| Human papillomavirus 93 (HPV93), complete genome
gi|389656400|lcl|HPV135REF.1| Human papillomavirus 135 (HPV135), complete genome
gi|389656408|lcl|HPV136REF.1| Human papillomavirus 136 (HPV136), complete genome
gi|389656416|lcl|HPV137REF.1| Human papillomavirus 137 (HPV137), complete genome
gi|389656424|lcl|HPV140REF.1| Human papillomavirus 140 (HPV140), complete genome
gi|389656432|lcl|HPV144REF.1| Human papillomavirus 144 (HPV144), complete genome
gi|395627595|lcl|HPV159REF.1| Human papillomavirus 159 (HPV159), complete genome
gi|396910|lcl|HPV12REF.1| Human papillomavirus 12 (HPV12), complete genome
gi|396918|lcl|HPV14REF.1| Human papillomavirus 14 (HPV14), complete genome
gi|396924|lcl|HPV15REF.1| Human papillomavirus 15 (HPV15), complete genome
gi|396932|lcl|HPV17REF.1| Human papillomavirus 17 (HPV17), complete genome
gi|396940|lcl|HPV19REF.1| Human papillomavirus 19 (HPV19), complete genome
gi|396948|lcl|HPV25REF.1| Human papillomavirus 25 (HPV25), complete genome
gi|396964|lcl|HPV27REF.1| Human papillomavirus 27 (HPV27), complete genome
gi|396973|lcl|HPV30REF.1| Human papillomavirus 30 (HPV30), complete genome
gi|396997|lcl|HPV35REF.1| Human papillomavirus 35 (HPV35), complete genome
gi|397005|lcl|HPV3REF.1| Human papillomavirus 3 (HPV3), complete genome
gi|397014|lcl|HPV40REF.1| Human papillomavirus 40 (HPV40), complete genome
gi|397022|lcl|HPV45REF.1| Human papillomavirus 45 (HPV45), complete genome
gi|397038|lcl|HPV52REF.1| Human papillomavirus 52 (HPV52), complete genome
gi|397053|lcl|HPV56REF.1| Human papillomavirus 56 (HPV56), complete genome
gi|39932599|lcl|HPV62REF.1| Human papillomavirus 62 (HPV62), complete genome
gi|40804474|lcl|HPV43REF.1| Human papillomavirus 43 (HPV43), complete genome
gi|40804509|lcl|HPV81REF.1| Human papillomavirus 81 (HPV81), complete genome
gi|40804520|lcl|HPV95REF.1| Human papillomavirus 95 (HPV95), complete genome
gi|40804528|lcl|HPV94REF.1| Human papillomavirus 94 (HPV94), complete genome
gi|409183105|lcl|HPV169REF.1| Human papillomavirus 169 (HPV169), complete genome
gi|409183113|lcl|HPV164REF.1| Human papillomavirus 164 (HPV164), complete genome
gi|409183121|lcl|HPV163REF.1| Human papillomavirus 163 (HPV163), complete genome
gi|409183128|lcl|HPV162REF.1| Human papillomavirus 162 (HPV162), complete genome
gi|409183135|lcl|HPV161REF.1| Human papillomavirus 161 (HPV161), complete genome
gi|409183142|lcl|HPV170REF.1| Human papillomavirus 170 (HPV170), complete genome
gi|409183149|lcl|HPV165REF.1| Human Papillomavirus 165 (HPV165), complete genome
gi|410118099|lcl|HPV166REF.1| Human papillomavirus 166 (HPV166), complete genome
gi|410443770|lcl|HPV156REF.1| Human papillomavirus 156 (HPV156), complete genome
gi|443498370|lcl|HPV175REF.1| Human papillomavirus 175 (HPV175), complete genome
gi|443498378|lcl|HPV180REF.1| Human papillomavirus 180 (HPV180), complete genome
gi|444303709|lcl|HPV78REF.1| Human papillomavirus 78 (HPV78), complete genome
gi|4574720|lcl|HPV85REF.1| Human papillomavirus 85 (HPV85), complete genome
gi|457866359|lcl|HPV160REF.1| Human papillomavirus 160 (HPV160), complete genome
gi|469662959|lcl|HPV174REF.1| Human papillomavirus 174 (HPV174), complete genome
gi|50253426|lcl|HPV96REF.2| Human papillomavirus 96 (HPV96), complete genome
gi|5059324|lcl|HPV83REF.1| Human papillomavirus 83 (HPV83), complete genome
gi|512721866|lcl|HPV154REF.1| Human papillomavirus 154 (HPV154), complete genome
gi|530787707|lcl|HPV179REF.1| Human papillomavirus type 179 (HPV179), complete genome
gi|551364092|lcl|HPV184REF.1| Human papillomavirus type 184 (HPV184), complete genome
gi|557236|lcl|HPV59REF.1| Human papillomavirus 59 (HPV59), complete genome
gi|557825766|lcl|HPV168REF.1| Human papillomavirus 168 (HPV168), complete genome
gi|559797726|lcl|HPV167REF.1| Human papillomavirus 167 (HPV167), complete genome
gi|564732516|lcl|HPV171REF.1| Human papillomavirus 171 (HPV171), complete genome
gi|564732524|lcl|HPV172REF.1| Human papillomavirus 172 (HPV172), complete genome
gi|564732532|lcl|HPV173REF.1| Human papillomavirus 173 (HPV173), complete genome
gi|60295|lcl|HPV13REF.1| Human papillomavirus 13 (HPV13), complete genome
gi|607064610|lcl|HPV178REF.1| Human Papillomavirus 178 (HPV178), complete genome
gi|60882|lcl|HPV57REF.1| Human papillomavirus 57 (HPV57), complete genome
gi|60955|lcl|HPV6REF.1| Human papillomavirus 6 (HPV6), complete genome
gi|60965|lcl|BPV1REF.1| Bos taurus Papillomavirus 1 (BPV1), complete genome
gi|60966|lcl|HPV1REF.1| Human papillomavirus 1 (HPV1), complete genome
gi|60975|lcl|HPV18REF.1| Human papillomavirus 18 (HPV18), complete genome
gi|674781099|lcl|HPV199REF.1| Human papillomavirus type 199 (HPV199), complete genome
gi|677569933|lcl|HPV197REF.1| Human papillomavirus type 197 (HPV197), complete genome
gi|6970418|lcl|HPV69REF.1| Human papillomavirus 69 (HPV69), complete genome
gi|6970427|lcl|HPV82REF.1| Human papillomavirus 82 (HPV82), complete genome
gi|71726685|lcl|HPV68REF.1| Human papillomavirus 68 (HPV68), complete genome
gi|71726694|lcl|HPV97REF.1| Human papillomavirus 97 (HPV97), complete genome
gi|71726710|lcl|HPV106REF.1| Human papillomavirus 106 (HPV106), complete genome
gi|71726718|lcl|HPV102REF.1| Human papillomavirus 102 (HPV102), complete genome
gi|819925266|lcl|HPV204REF.1| Human papillomavirus 204 (HPV204), complete genome
gi|870702416|lcl|HPV200REF.1| Human papillomavirus 200 (HPV200), complete genome
gi|870702434|lcl|HPV202REF.1| Human papillomavirus 202 (HPV202), complete genome
gi|896684338|lcl|HPV201REF.1| Human papillomavirus 201 (HPV201), complete genome
gi|9626032|lcl|HPV2REF.1| Human papillomavirus 2 (HPV2), complete genome
gi|9626041|lcl|HPV41REF.1| Human papillomavirus 41 (HPV41), complete genome
gi|9626597|lcl|HPV4REF.1| Human papillomavirus 4 (HPV4), complete genome
gi|9626605|lcl|HPV63REF.1| Human papillomavirus 63 (HPV63), complete genome
gi|9627257|lcl|HPV10REF.1| Human papillomavirus 10 (HPV10), complete genome
gi|9627305|lcl|HPV26REF.1| Human papillomavirus 26 (HPV26), complete genome
gi|9627327|lcl|HPV32REF.1| Human papillomavirus 32 (HPV32), complete genome
gi|9627334|lcl|HPV34REF.1| Human papillomavirus 34 (HPV34), complete genome
gi|9627363|lcl|HPV49REF.1| Human papillomavirus 49 (HPV49), complete genome
gi|9627377|lcl|HPV53REF.1| Human papillomavirus 53 (HPV53), complete genome
gi|9627389|lcl|HPV7REF.1| Human papillomavirus 7 (HPV7), complete genome
gi|9627396|lcl|HPV9REF.1| Human papillomavirus 9 (HPV9), complete genome
gi|9628437|lcl|HPV54REF.1| Human papillomavirus 54 (HPV54), complete genome
gi|9628486|lcl|HPV24REF.1| Human papillomavirus 24 (HPV24), complete genome
gi|9628542|lcl|HPV48REF.1| Human papillomavirus 48 (HPV48), complete genome
gi|9628550|lcl|HPV50REF.1| Human papillomavirus 50 (HPV50), complete genome
gi|9628566|lcl|HPV60REF.1| Human papillomavirus 60 (HPV60), complete genome
gi|9628574|lcl|HPV61REF.1| Human papillomavirus 61 (HPV61), complete genome
